Accession	Previous Gene Name?	Newer Gene Name?	Known Gene Name	SacCer Ortholog Gene Name	SacCer Ortholog Gene Description	Gene known not to be involved in virulence	Gene involved in melanin production	Gene involved in capsule production	Gene with increased virulence in KO	Other Virulence Phenotype	Annotated as Txn Factor?	Gene found in DMEM screen	Hiten's Annotation	CH Annotation	Blast Results	Counts MSTEST-1A	Counts MSTEST-1B	Counts MSTEST-4-6A	Counts MSTEST-4-6B	Coverage MSTEST-1A	Coverage MSTEST-1B	Coverage MSTEST-4-6A	Coverage MSTEST-4-6B	Ratio of average counts from MSTEST-4-6/MSTEST-1	
CNAG_02234T0			NO	YLR448W,YML073C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L6B; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L6A; N-terminally acetylated; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6	NO					NO	YES	RPL6A Ribosomal 60S subunit protein L6A; N-terminally acetylated; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6A has a paralog, RPL6B, that arose from the whole genome duplication		Ricinus communis 60S ribosomal protein L6, putative, mRNA; PREDICTED: Vitis vinifera 60S ribosomal protein L6-like (LOC100252724), mRNA; Talaromyces stipitatus ATCC 10500 60S ribosomal protein L6, partial mRNA	14	33	76	88	14.90%	50.20%	49.30%	38.60%	3.48936170213	
CNAG_03510T0			NO	YMR194W,YPL249C-A	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L36A; N-terminally acetylated; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L36,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L36B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L36	NO					NO	YES	RPL36B Ribosomal 60S subunit protein L36B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L36, no bacterial homolog; RPL36B has a paralog, RPL36A, that arose from the whole genome duplication		Coprinopsis cinerea okayama7#130 60S ribosomal protein L36, partial mRNA; PREDICTED: Cicer arietinum 60S ribosomal protein L36-2-like (LOC101514831), transcript variant X2, mRNA; PREDICTED: Cicer arietinum 60S ribosomal protein L36-2-like (LOC101514831), transcript variant X1, mRNA	23	22	62	102	39.60%	55.00%	49.90%	45.10%	3.64444444444	
CNAG_04513T0			NO			NO					NO	NO	DNA-directed RNA polymerase    PF00562.20 RNA_pol_Rpb2_6 PF04560.12 RNA_pol_Rpb2_7 PF04561.6 RNA_pol_Rpb2_2 PF04563.7 RNA_pol_Rpb2_1 PF04565.8 RNA_pol_Rpb2_3 PF04566.5 RNA_pol_Rpb2_4 PF04567.9 RNA_pol_Rpb2_5		PREDICTED: Pseudopodoces humilis polymerase (RNA) III (DNA directed) polypeptide B (POLR3B), mRNA; PREDICTED: Ficedula albicollis polymerase (RNA) III (DNA directed) polypeptide B (POLR3B), mRNA; PREDICTED: Bombus terrestris DNA-directed RNA polymerase III subunit RPC2-like (LOC100646068), mRNA	12	30	57	106	8.20%	19.70%	33.20%	41.90%	3.88095238095	
CNAG_02720T0			NO			NO					NO	YES	GTP-binding protein    PF01926.15 MMR_HSR1 PF08701.3 GN3L_Grn1		Candida orthopsilosis Co 90-125 Ebp2 protein (CORT_0B05160), mRNA; Candida orthopsilosis Co 90-125, chromosome 2 draft sequence; Alteromonas addita strain R10SW13 RNA polymerase subunit sigma 70 (rpoD) gene, partial cds	19	22	58	101	12.60%	34.40%	27.90%	33.50%	3.87804878049	
CNAG_03302T0			NO	YKL143W	, "Component of the GSE complex	NO					NO	YES	LTV1 Component of the GSE complex, which is required for proper sorting of amino acid permease Gap1p; required for ribosomal small subunit export from nucleus; required for growth at low temperature		Bathycoccus prasinos genomic : chromosome_5; Zygosaccharomyces bailii CLIB 213 genomic, scaffold10; Plasmodium falciparum 3D7 conserved Plasmodium protein, unknown function (PF13_0310) mRNA, complete cds	16	23	81	77	10.30%	24.50%	43.50%	46.20%	4.05128205128	
CNAG_01168T0			NO	YLR175W,YNL292W	Centromere Binding Factor, "Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs),PseudoUridine Synthase, "Pseudouridine synthase	NO					NO	YES	PUS4 Pseudouridine synthase, catalyzes only the formation of pseudouridine-55 (Psi55), a highly conserved tRNA modification, in mitochondrial and cytoplasmic tRNAs; PUS4 overexpression leads to translational derepression of GCN4 (Gcd- phenotype)		Homo sapiens dyskeratosis congenita 1, dyskerin (DKC1), RefSeqGene (LRG_55) on chromosome X; Homo sapiens DKC1 gene, exons 1 to 11; PREDICTED: Tribolium castaneum similar to AGAP004739-PA (LOC655639), mRNA	29	10	69	87	22.50%	23.50%	49.10%	59.10%	4.0	
CNAG_04694T0			NO	YLR196W	Periodic tryptophan (W) Protein, Protein with WD-40 repeats involved in rRNA processing; associates with trans-acting ribosome biogenesis factors; similar to beta-transducin superfamily	NO					NO	YES	PWP1 Protein with WD-40 repeats involved in rRNA processing; associates with trans-acting ribosome biogenesis factors; similar to beta-transducin superfamily		Trypanosoma brucei brucei strain 927/4 GUTat10.1 protein kinase, putative (Tb927.7.6680) partial mRNA; PREDICTED: Trichechus manatus latirostris nucleophosmin/nucleoplasmin 2 (NPM2), mRNA; Penicillium marneffei ATCC 18224 transcription initiation protein spt5, mRNA	20	19	68	81	11.50%	12.50%	58.90%	52.60%	3.82051282051	
CNAG_03127T0			NO	YGR118W,YPR132W	Ribosomal Protein of the Small subunit, "Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit,Ribosomal Protein of the Small subunit, "Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit	NO					NO	YES	RPS23B Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit, required for translational accuracy; homologous to mammalian ribosomal protein S23 and bacterial S12; RPS23B has a paralog, RPS23A, that arose from the whole genome duplication; deletion of both RPS23A and RPS23B is lethal		Wolffia arrhiza putative ribosomal S23 protein mRNA, complete cds; Saccharomyces bayanus RPS23 gene, complete cds; Saccharomyces bayanus RPS23 gene, complete cds	6	33	44	102	32.40%	53.10%	27.90%	48.60%	3.74358974359	
CNAG_05759T0			NO	YMR207C,YNR016C	, "Mitochondrial acetyl-coenzyme A carboxylase,Acetyl-CoA Carboxylase, "Acetyl-CoA carboxylase	NO					NO	YES	ACC1 Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes the carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids;		Schizosaccharomyces japonicus yFS275 acetyl-CoA carboxylase, mRNA; Dictyostelium purpureum acetyl-CoA carboxylase, mRNA; Brassica napus acc2.1 gene (partial), exons 1-30	7	31	60	85	2.20%	3.30%	51.20%	45.40%	3.81578947368	
CNAG_01938T0			KIN1	YDR122W,YLR096W	KINase, Serine/threonine protein kinase involved in regulation of exocytosis; localizes to the cytoplasmic face of the plasma membrane; closely related to Kin2p,KINase, Serine/threonine protein kinase involved in regulation of exocytosis; localizes to the cytoplasmic face of the plasma membrane; closely related to Kin1p	NO				Ko has increased phagocytosis	NO	YES	KIN1	KIN1(Serine/threonine protein kinase)	Xenopus laevis MAK-V/Hunk variant mRNA, partial cds; Caenorhabditis remanei CRE-AAK-2 protein (Cre-aak-2) mRNA, complete cds; Caenorhabditis elegans Protein UNC-82, isoform a	12	23	46	98	12.60%	9.40%	20.10%	27.50%	4.11428571429	
CNAG_03283T0			NO	YGL031C,YGR148C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L24A; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L24B; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24	NO					NO	YES	RPL24B Ribosomal 60S subunit protein L24B; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24, no bacterial homolog; RPL24B has a paralog, RPL24A, that arose from the whole genome duplication		Tuber melanosporum Mel28 60S ribosomal protein L24, partial mRNA; Laccaria bicolor S238N-H82 60S ribosomal protein L24, partial mRNA; AF137360 Mycobacterium avium periplasmic phosphate permease (pstS-3) gene, complete cds; and transmembrane phosphate uptake protein (pstC-2) gene, partial cds	12	23	62	81	20.70%	35.30%	43.40%	49.90%	4.08571428571	
CNAG_01398T0			NO	YJL050W	Mrna TRansport, "ATP-dependent 3'-5' RNA helicase of the DExD/H family; involved in nuclear RNA processing and degradation both as a component of TRAMP complex and in TRAMP-independent processes; TRAMP unwinds RNA duplexes	NO					NO	NO	MTR4 ATP-dependent 3'-5' RNA helicase of the DExD/H family; involved in nuclear RNA processing and degradation both as a component of TRAMP complex and in TRAMP-independent processes; TRAMP unwinds RNA duplexes, with Mtr4p unwinding activity stimulated by Pap2p/Air2p but not dependent on ongoing polyadenylation; contains an arch domain, with two coiled-coil arms/stalks and a globular fist/KOW domain, which has RNA binding activity and is required for 5.8S rRNA processing		Arabidopsis lyrata subsp. lyrata HUA enhancer 2, mRNA; Trypanosoma brucei brucei strain 927/4 GUTat10.1 ATP-dependent DEAD/H RNA helicase (Tb10.6k15.3220) partial mRNA; Schizosaccharomyces japonicus yFS275 ATP-dependent RNA helicase DOB1, mRNA	23	11	51	92	11.50%	9.60%	64.30%	63.20%	4.20588235294	
CNAG_04883T0			NO	YDR450W,YML026C,YNL081C	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S18 and bacterial S13; RPS18A has a paralog,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S18 and bacterial S13; RPS18B has a paralog,Sick Without Securin, "Putative mitochondrial ribosomal protein of the small subunit	NO					NO	YES	SWS2 Putative mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S13 ribosomal protein; participates in controlling sporulation efficiency		Magnaporthe oryzae 70-15 40S ribosomal protein S18 (MGG_05661) mRNA, complete cds; Magnaporthe grisea 40S ribosomal protein S18-like protein mRNA, complete cds; Zea mays 40S ribosomal protein S18 (LOC100285246), mRNA >gi	14	20	70	72	12.90%	57.40%	47.70%	37.90%	4.17647058824	
CNAG_01236T0			NO	YKL172W	EBNA1-binding protein (homolog), "Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p	NO					NO	NO	EBP2 Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering		Ajellomyces dermatitidis SLH14081 rRNA processing protein, mRNA; PREDICTED: Dasypus novemcinctus protein phosphatase 1, regulatory subunit 12A (PPP1R12A), mRNA; Aspergillus fumigatus Af293 rRNA processing protein (Ebp2), putative (AFUA_5G12270), partial mRNA	9	24	40	99	14.90%	37.70%	26.60%	34.10%	4.21212121212	
CNAG_00771T0			NO	YDL136W,YDL191W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L35B; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35B has a paralog,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L35A; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35A has a paralog	NO					NO	YES	RPL35A Ribosomal 60S subunit protein L35A; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35A has a paralog, RPL35B, that arose from the whole genome duplication		PREDICTED: Trichechus manatus latirostris ribosomal protein L35 (RPL35), mRNA; PREDICTED: Ochotona princeps translation initiation factor IF-2-like (LOC101531204), mRNA; PREDICTED: Echinops telfairi ribosomal protein L35 (RPL35), mRNA	7	26	63	75	23.60%	51.20%	40.20%	47.10%	4.18181818182	
CNAG_05976T0			NO	YOR310C	NucleOlar Protein of 58 kDa, "Protein involved in pre-rRNA processing	NO					NO	YES	NOP58 Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA		Talaromyces stipitatus ATCC 10500 pre-rRNA processing nucleolar protein Sik1, putative, mRNA; Drosophila melanogaster FI04781 full insert cDNA; Drosophila melanogaster Nop56 (Nop56), mRNA	16	17	48	87	23.90%	22.50%	33.70%	42.50%	4.09090909091	
CNAG_03724T0			NO	YNL061W	NucleOlar Protein, "Probable RNA m(5)C methyltransferase	NO					NO	YES	NOP2 Probable RNA m(5)C methyltransferase, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre-ribosomal particles		Pediculus humanus corporis Proliferating-cell nucleolar antigen p120, putative, mRNA; Toxoplasma gondii ME49 NOL1/NOP2/sun family domain-containing protein, mRNA; S.cerevisiae YNA1 gene	6	27	40	94	7.30%	11.70%	42.70%	43.30%	4.06060606061	
CNAG_01432T0			NO	YCR072C	RiboSome Assembly, "WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits	NO					NO	NO	RSA4 WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus		Micromonas sp. RCC299 chromosome 5 wd-40 repeat family protein/notchless protein (MICPUN_81470) mRNA, complete cds; PREDICTED: Canis lupus familiaris notchless homolog 1 (Drosophila) (NLE1), transcript variant X2, mRNA; PREDICTED: Canis lupus familiaris notchless homolog 1 (Drosophila) (NLE1), transcript variant X1, mRNA	13	20	56	77	17.20%	18.90%	28.00%	41.70%	4.0303030303	
CNAG_05465T0			NO	YMR116C	Absence of growth Suppressor of Cyp1, G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; regulates P-body formation induced by replication stress; represses Gcn4p in the absence of amino acid starvation	NO					NO	YES	ASC1 G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; regulates P-body formation induced by replication stress; represses Gcn4p in the absence of amino acid starvation	GIB2(G-protein beta-like RACK1 protein homolog; interacts with G-gamma subunit homologs, Gpg1 and Gpg2; possibly essential)	Ganoderma lucidum G-protein complex beta subunit mRNA, complete cds; Gibberella zeae PH-1 guanine nucleotide-binding protein subunit beta partial mRNA; Fusarium oxysporum fgb2 gene for G-protein beta like WD repeat protein, complete cds	11	22	47	85	31.20%	35.00%	66.30%	59.70%	4.0	
CNAG_00147T0			NO	YHR165C	Pre-mRNA Processing, "Component of the U4/U6-U5 snRNP complex	NO					NO	YES	PRP8 Component of the U4/U6-U5 snRNP complex, involved in the second catalytic step of splicing; mutations of human Prp8 cause retinitis pigmentosa		PREDICTED: Ceratitis capitata pre-mRNA-processing-splicing factor 8-like (LOC101454681), mRNA; Galdieria sulphuraria pre-mRNA-processing factor 8 (Gasu_24380) mRNA, complete cds; Entamoeba invadens IP1 pre-mRNA-processing-splicing factor, putative (EIN_215170) mRNA, complete cds	15	17	54	77	2.40%	2.60%	32.70%	50.00%	4.09375	
CNAG_02857T0			NO	YFR022W,YOR018W	Revertant Of Glycogen synthase kinase mutation, Protein that binds the ubiquitin ligase Rsp5p via its 2 PY motifs; has similarity to Rod1p; mutation suppresses the temperature sensitivity of an mck1 rim11 double mutant; proposed to regulate the endocytosis of plasma membrane proteins,Resistance to O-Dinitrobenzene, "Membrane protein	NO					NO	YES	ROD1 Membrane protein, binds the ubiquitin ligase Rsp5p via its 2 PY motifs; overexpression confers resistance to the GST substrate o-dinitrobenzene,zinc, and calcium; proposed to regulate the endocytosis of plasma membrane proteins; protein abundance increases in response to DNA replication stress		PREDICTED: Columba livia hematopoietic cell-specific Lyn substrate 1 (HCLS1), mRNA; PREDICTED: Bombyx mori ATP-citrate synthase-like (LOC101740166), partial mRNA; 	19	13	42	85	10.90%	14.40%	25.70%	37.10%	3.96875	
CNAG_01840T0			NO	YFL037W	TUBulin, "Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer	NO					NO	YES	TUB2 Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules; mutation in human ortholog is associated with congenital fibrosis of the extraocular muscles (CFEOM) with polymicrogyria	TUB2(Tubulin beta chain)	Isaria fumosorosea strain ARSEF3590 beta-tubulin gene, partial cds; Isaria farinosa strain ARSEF648 beta-tubulin gene, partial cds; Ophioceras tenuisporum strain SMH1643 beta-tubulin gene, partial cds	16	15	51	76	15.70%	31.00%	13.90%	17.90%	4.09677419355	
CNAG_01039T0			NO	YPR189W	SuperKIller, "Ski complex component and TPR protein	NO					NO	NO	SKI3 Ski complex component and TPR protein, mediates 3'-5' RNA degradation by the cytoplasmic exosome; null mutants have superkiller phenotype of increased viral dsRNAs and are synthetic lethal with mutations in 5'-3' mRNA decay		Schizosaccharomyces japonicus yFS275 phospholipid-transporting ATPase, mRNA; PREDICTED: Mustela putorius furo sentrin-specific protease 2-like (LOC101682757), mRNA; Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Man2b2:tm1a(KOMP)Wtsi; transgenic	7	23	47	78	3.40%	3.30%	64.60%	47.80%	4.16666666667	
CNAG_06325T0			NO			NO					NO	NO	GTPase activator		Drosophila pseudoobscura pseudoobscura GA25805 (Dpse\GA25805), mRNA; Homo sapiens sodium solute symporter family 5 member 8 protein (SLC5A8) gene, complete cds; PREDICTED: Oreochromis niloticus myb-like protein X-like (LOC100710212), transcript variant X1, mRNA	11	19	53	72	14.10%	13.70%	42.60%	55.60%	4.16666666667	
CNAG_04176T0			NO			NO					NO	NO	conserved hypothetical protein		Brugia malayi HSF-type DNA-binding domain containing protein partial mRNA; YSPHSF Schizosaccharomyces pombe heat shock transcription factor (HSF) mRNA, complete cds; Homo sapiens bicaudal C homolog 1 (Drosophila) (BICC1), RefSeqGene on chromosome 10	17	13	57	67	31.20%	10.30%	27.90%	25.60%	4.13333333333	
CNAG_05762T0			NO	YDR382W,YOL039W	Ribosomal Protein P2 Beta, "Ribosomal protein P2 beta,Ribosomal Protein P2 Alpha, "Ribosomal protein P2 alpha	NO					NO	YES	RPP2A Ribosomal protein P2 alpha, a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm		PREDICTED: Fragaria vesca subsp. vesca 60S acidic ribosomal protein P3-like (LOC101313202), mRNA; Nectria haematococca mpVI 77-13-4 60S acidic ribosomal protein P1, partial mRNA; Schizosaccharomyces japonicus yFS275 60S acidic ribosomal protein P1, partial mRNA	15	14	46	77	31.50%	100.00%	38.10%	40.50%	4.24137931034	
CNAG_06160T0			NO			NO					NO	NO	guanyl nucleotide exchange factor Sql2    PF00018.20 SH3_1 PF00617.11 RasGEF PF00618.12 RasGEF_N PF07653.9 SH3_2		Homo sapiens RNA, 5S ribosomal pseudogene 378 (RNA5SP378) on chromosome 12; PREDICTED: Ochotona princeps high mobility group box 2 (HMGB2), mRNA; PREDICTED: Xiphophorus maculatus cullin-9-like (LOC102230073), mRNA	12	16	44	78	7.40%	3.20%	29.00%	31.00%	4.35714285714	
CNAG_00992T0			NO	YDL131W,YDL182W	LYSine requiring, "Homocitrate synthase isozyme; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate,LYSine requiring, "Homocitrate synthase isozyme; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate	NO					NO	YES	LYS20 Homocitrate synthase isozyme; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS20 has a paralog, LYS21, that arose from the whole genome duplication		Zygosaccharomyces bailii CLIB 213 genomic, scaffold04; Gibberella fujikuroi partial mRNA for putative homocitrate synthase (lys21 gene), strain IMI58289; S.cerevisiae DNA of cosmid from chromosome IV, strain FY 1679	11	16	45	77	24.70%	21.10%	56.30%	62.00%	4.51851851852	
CNAG_05558T0			NO	YOR233W,YPL141C	KINase, "Serine/threonine protein kinase that inhibits the mitotic exit network (MEN) when the spindle position checkpoint is activated; localized asymmetrically to mother cell cortex,Fatty acyl-CoA synthetase and RNA processing-associated Kinase., Protein kinase of unknown cellular role; similar to Kin4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; interacts with rRNA transcription and ribosome biogenesis factors and the long chain fatty acyl-CoA synthetase Faa3	NO					NO	YES	FRK1 Protein kinase of unknown cellular role; similar to Kin4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; interacts with rRNA transcription and ribosome biogenesis factors and the long chain fatty acyl-CoA synthetase Faa3	KIN4(Serine/threonine protein kinase)	Zygosaccharomyces bailii CLIB 213 genomic, scaffold09; Pichia pastoris CBS 7435 chromosome 1, complete replicon sequence; Pichia pastoris GS115 Serine/threonine protein kinase (PAS_chr1-4_0273) mRNA, complete cds	15	12	36	85	9.30%	4.50%	19.20%	32.10%	4.48148148148	
CNAG_05525T0			NO	YER131W,YGL189C	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S26,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S26	NO					NO	YES	RPS26A Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S26, no bacterial homolog; RPS26A has a paralog, RPS26B, that arose from the whole genome duplication		Puccinia graminis f. sp. tritici CRL 75-36-700-3 40S ribosomal protein S26 (PGTG_18358), mRNA; Sclerotinia sclerotiorum 1980 UF-70 40S ribosomal protein S26, partial mRNA; Pichia pastoris CBS 7435 chromosome 2, complete replicon sequence	10	17	43	77	24.20%	34.10%	20.40%	44.50%	4.44444444444	
CNAG_03554T0			NO	YDL145C	COat Protein, "Alpha subunit of COPI vesicle coatomer complex	NO					NO	YES	COP1 Alpha subunit of COPI vesicle coatomer complex, which surrounds transport vesicles in the early secretory pathway		Candida tropicalis MYA-3404 coatomer alpha subunit, mRNA; Candida dubliniensis CD36 alpha subunit of COPI vesicle coatomer complex, putative (CD36_81600) mRNA, complete cds; PREDICTED: Dasypus novemcinctus coatomer protein complex, subunit alpha (COPA), transcript variant 2, mRNA	17	9	53	67	3.20%	10.50%	31.30%	31.60%	4.61538461538	
CNAG_02209T0			NO	YLR197W	NucleOlar Protein of 56.8 kDa, Essential evolutionarily-conserved nucleolar protein component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects	NO					NO	YES	NOP56 Essential evolutionarily-conserved nucleolar protein component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects		Homo sapiens NOP56 ribonucleoprotein (NOP56), transcript variant 2, non-coding RNA; PREDICTED: Takifugu rubripes nucleolar protein 56-like (LOC101068544), mRNA; Mus musculus NOP56 ribonucleoprotein (Nop56), mRNA	18	8	63	57	19.60%	22.10%	50.00%	56.20%	4.61538461538	
CNAG_00602T0			NO	YMR146C	Translation Initiation Factor, "eIF3i subunit of the core complex of translation initiation factor 3 (eIF3)	NO					NO	YES	TIF34 eIF3i subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates rate of ribosomal scanning during translation reinitiation		PREDICTED: Ciona intestinalis ribosomal RNA processing protein 36 homolog (LOC100184197), mRNA; PREDICTED: Aplysia californica ras-specific guanine nucleotide-releasing factor 2-like (LOC101851437), mRNA; PREDICTED: Sarcophilus harrisii eukaryotic translation initiation factor 3, subunit I (EIF3I), mRNA	8	17	47	72	10.90%	41.60%	25.60%	38.30%	4.76	
CNAG_03791T0			NO	YER129W,YGL179C	Snf1 Activating Kinase, "Upstream serine/threonine kinase for the SNF1 complex; partially redundant with Elm1p and Tos3p; members of this family have functional orthology with LKB1,Target Of Sbf, "Protein kinase	NO					NO	NO	TOS3 Protein kinase, related to and functionally redundant with Elm1p and Sak1p for the phosphorylation and activation of Snf1p; functionally orthologous to LKB1, a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome		PREDICTED: Setaria italica tyrosine-sulfated glycopeptide receptor 1-like (LOC101775017), mRNA; Pichia pastoris GS115 Upstream serine/threonine kinase for the SNF1 complex (PAS_chr2-1_0639) mRNA, complete cds; Chondrus crispus Serine/threonine protein kinase (CHC_T00008624001) mRNA, complete cds	8	17	52	67	5.40%	6.90%	24.00%	28.20%	4.76	
CNAG_04628T0			NO	YPR016C	Translation Initiation Factor, "Constituent of 66S pre-ribosomal particles	NO					NO	YES	TIF6 Constituent of 66S pre-ribosomal particles, has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits		Trichophyton rubrum CBS 118892 eukaryotic translation initiation factor 6 (TERG_08598) mRNA, complete cds; Caenorhabditis brenneri eukaryotic Initiation Factor 6 (eif-6) mRNA, partial cds; PREDICTED: Fragaria vesca subsp. vesca eukaryotic translation initiation factor 6-2-like, transcript variant 1 (LOC101306580), mRNA	13	12	60	59	33.10%	41.20%	71.10%	58.40%	4.76	
CNAG_04981T0			NO			NO					NO	YES	catalase A    PF00199.11 Catalase PF01965.16 DJ-1_PfpI PF06628.4 Catalase-rel	?(Peroxisomal catalase)CAT1(Catalase A; regulated by Gcn5)	Postia placenta Mad-698-R candidate catalase, mRNA; Nosema locustae group II large subunit catalase gene, complete cds; and unknown genes; Ajellomyces capsulatus catalase isozyme A (CATA) mRNA, complete cds	6	19	49	69	6.70%	16.10%	40.80%	33.50%	4.72	
CNAG_03966T0			NO			NO					NO	NO	conserved hypothetical protein		PREDICTED: Gorilla gorilla gorilla matrix Gla protein (MGP), mRNA; PREDICTED: Gorilla gorilla gorilla matrix Gla protein (MGP), mRNA; PREDICTED: Gorilla gorilla gorilla matrix Gla protein (MGP), mRNA	19	5	42	76	8.00%	3.30%	36.90%	38.50%	4.91666666667	
CNAG_00891T0			NO	YER036C	ATP-binding cassette protein involved in Ribosome Biogenesis, "ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis	NO					NO	YES	ARB1 ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p		Chondrus crispus unnamed protein product (CHC_T00001732001) mRNA, complete cds; Dictyostelium discoideum AX4 ABC transporter-related protein (abcF2) mRNA, complete cds; Dictyostelium discoideum non-transporter ABC protein AbcF2 (abcF2) gene, complete cds	7	17	52	66	10.90%	21.50%	26.80%	34.90%	4.91666666667	
CNAG_04131T0			NO	YLR398C	SuperKIller, "Ski complex component and putative RNA helicase	NO					NO	YES	SKI2 Ski complex component and putative RNA helicase, mediates 3'-5' RNA degradation by the cytoplasmic exosome; null mutants have superkiller phenotype of increased viral dsRNAs and are synthetic lethal with mutations in 5'-3' mRNA decay		Candida tropicalis MYA-3404 antiviral helicase SKI2, mRNA; Entamoeba histolytica HM-1:IMSS DEAD/DEAH box helicase, putative, mRNA; Pediculus humanus corporis Helicase, putative, mRNA	11	13	42	75	7.60%	6.60%	40.30%	58.50%	4.875	
