	Five_p_Score	Three_p_Score	150904CM018-A_end	150904CM018-B_end	150904CM018-W_end	150904CM763-A_end	150904CM763-B_end	150904CM763-W_end	150904CM764-A_end	150904CM764-B_end	150904CM018-A_total	150904CM018-B_total	150904CM018-W_total	150904CM763-A_total	150904CM763-B_total	150904CM763-W_total	150904CM764-A_total	150904CM764-B_total	Length	150904CM763-A_end_norm	150904CM764-A_end_norm
CNAG_01209T0-8	5.90280830281	10.4804232804	0	0	0	2	0	0	0	0	5.0	41.0	750.0	235.0	1800.0	51.0	282.0	383.0	8454	0.0112129455175	0.0
CNAG_01209T0-9	6.09160222494	12.9465744132	0	0	0	0	0	0	1	0	5.0	41.0	750.0	235.0	1800.0	51.0	282.0	383.0	8454	0.0	0.00255511213349
CNAG_01210T0-1	5.01739248406	10.7102428436	0	0	0	0	0	0	0	0	1.0	8.0	1012.0	82.0	248.0	73.0	82.0	57.0	1190	0.0	0.0
CNAG_01210T0-2	5.55664088997	13.0841405508	0	0	0	0	0	0	0	0	1.0	8.0	1012.0	82.0	248.0	73.0	82.0	57.0	1190	0.0	0.0
CNAG_01211T0-1	5.35162121829	8.70231990232	0	0	0	22	9	0	21	1	9.0	43.0	4917.0	406.0	2149.0	371.0	488.0	487.0	1480	1.13642602779	0.886172699553
CNAG_01211T0-2	7.81212861213	10.7015601682	0	0	0	1	1	0	8	0	9.0	43.0	4917.0	406.0	2149.0	371.0	488.0	487.0	1480	0.00234798766072	0.12860556184
CNAG_01211T0-3	4.89008275675	13.3469542803	0	0	1	1	0	0	3	0	9.0	43.0	4917.0	406.0	2149.0	371.0	488.0	487.0	1480	0.00234798766072	0.0180851571337
CNAG_01211T0-4	7.81902048569	11.5264143264	0	0	0	5	2	0	0	0	9.0	43.0	4917.0	406.0	2149.0	371.0	488.0	487.0	1480	0.0586996915179	0.0
CNAG_01212T0-1	5.01739248406	8.82957536291	0	0	0	10	4	0	8	0	12.0	39.0	2594.0	711.0	3726.0	175.0	747.0	772.0	1547	0.135422047313	0.0811281199689
CNAG_01212T0-2	5.69925383259	12.9463030796	0	0	0	20	5	0	19	3	12.0	39.0	2594.0	711.0	3726.0	175.0	747.0	772.0	1547	0.541688189252	0.4576133017
CNAG_01212T0-3	6.30156016823	11.5125220459	0	1	0	23	6	0	14	0	12.0	39.0	2594.0	711.0	3726.0	175.0	747.0	772.0	1547	0.716382630285	0.248454867405
CNAG_01212T0-4	4.93219373219	13.4384479718	0	0	0	16	1	0	10	0	12.0	39.0	2594.0	711.0	3726.0	175.0	747.0	772.0	1547	0.346680441121	0.126762687451
CNAG_01212T0-5	5.84778184778	13.5788359788	0	0	0	1	1	0	0	0	12.0	39.0	2594.0	711.0	3726.0	175.0	747.0	772.0	1547	0.00135422047313	0.0
CNAG_01212T0-6	7.07638040971	8.68180708181	1	0	0	0	4	0	0	0	12.0	39.0	2594.0	711.0	3726.0	175.0	747.0	772.0	1547	0.0	0.0
CNAG_01212T0-7	5.69925383259	11.6420567087	0	0	0	9	5	0	8	1	12.0	39.0	2594.0	711.0	3726.0	175.0	747.0	772.0	1547	0.109691858323	0.0811281199689
CNAG_01213T0-1	5.92983312983	10.2429521096	0	0	0	4	2	0	3	2	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0202949240136	0.0146546947157
CNAG_01213T0-10	6.09133089133	12.8360873694	0	0	0	5	1	0	0	0	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0317108187712	0.0
CNAG_01213T0-2	5.05076651743	14.0617555284	0	0	0	7	2	0	3	0	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0621532047916	0.0146546947157
CNAG_01213T0-3	5.8908696242	13.0296024963	0	0	0	0	0	0	0	0	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0	0.0
CNAG_01213T0-4	6.4881291548	11.7213946547	0	0	0	2	1	0	4	0	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0050737310034	0.0260527906057
CNAG_01213T0-5	4.89008275675	10.4872066205	0	0	0	5	2	0	8	0	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0317108187712	0.104211162423
CNAG_01213T0-6	4.97115723782	12.5960656627	0	0	0	4	2	0	1	0	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0202949240136	0.00162829941285
CNAG_01213T0-7	5.17758784425	12.6525573192	0	0	0	3	2	0	3	0	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0114158947576	0.0146546947157
CNAG_01213T0-8	6.8544295211	12.8628951296	0	0	0	3	0	0	0	0	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0114158947576	0.0
CNAG_01213T0-9	4.89008275675	12.286039886	0	0	0	3	0	0	3	0	17.0	42.0	1588.0	573.0	3978.0	127.0	508.0	601.0	3433	0.0114158947576	0.0146546947157
CNAG_01214T0-1	6.01231854565	12.4866096866	0	0	0	4	1	0	1	0	4.0	9.0	318.0	205.0	1152.0	21.0	247.0	248.0	2073	0.0700809094844	0.0039459997868
CNAG_01214T0-2	5.34288427622	10.5951431285	0	0	0	9	0	0	5	0	4.0	9.0	318.0	205.0	1152.0	21.0	247.0	248.0	2073	0.354784604265	0.0986499946699
CNAG_01214T0-3	6.00944240944	12.4641432641	0	0	0	1	1	0	2	0	4.0	9.0	318.0	205.0	1152.0	21.0	247.0	248.0	2073	0.00438005684278	0.0157839991472
CNAG_01215T0-1	6.03158323158	11.0489757156	0	0	0	15	6	0	9	0	4.0	8.0	1122.0	197.0	806.0	96.0	165.0	112.0	655	1.40857411123	0.707743247475
CNAG_01215T0-2	7.27396554063	12.5346900014	0	0	1	22	1	0	10	0	4.0	8.0	1122.0	197.0	806.0	96.0	165.0	112.0	655	3.02999942148	0.873757095648
CNAG_01215T0-3	7.56467236467	12.701994302	0	0	1	7	1	0	3	1	4.0	8.0	1122.0	197.0	806.0	96.0	165.0	112.0	655	0.306756139778	0.0786381386083
CNAG_01215T0-4	5.93124406458	8.41476054809	0	0	0	7	3	1	3	1	4.0	8.0	1122.0	197.0	806.0	96.0	165.0	112.0	655	0.306756139778	0.0786381386083
CNAG_01216T0-1	6.26406186406	13.4465337132	0	0	0	2	1	0	7	0	17.0	59.0	7033.0	377.0	2201.0	433.0	494.0	571.0	1387	0.00917005994162	0.0839786154276
CNAG_01216T0-2	6.18298738299	13.1950074617	0	0	0	7	2	0	3	0	17.0	59.0	7033.0	377.0	2201.0	433.0	494.0	571.0	1387	0.112333234285	0.01542464365
CNAG_01216T0-3	5.51181657848	12.2420295754	0	0	0	23	5	0	15	1	17.0	59.0	7033.0	377.0	2201.0	433.0	494.0	571.0	1387	1.21274042728	0.385616091249
CNAG_01217T0-1	6.03581603582	9.70419210419	0	0	0	2	0	0	0	0	6.0	16.0	1249.0	158.0	950.0	79.0	194.0	247.0	2432	0.0212455809805	0.0
CNAG_01217T0-2	6.67714014381	8.83299416633	0	0	0	1	0	0	0	0	6.0	16.0	1249.0	158.0	950.0	79.0	194.0	247.0	2432	0.00531139524513	0.0
CNAG_01217T0-3	6.00944240944	13.0135938136	0	0	0	4	0	0	1	0	6.0	16.0	1249.0	158.0	950.0	79.0	194.0	247.0	2432	0.0849823239222	0.00396197549443
CNAG_01221T0-1	7.07638040971	9.21649708316	0	0	0	17	4	1	7	0	7.0	22.0	1508.0	364.0	2068.0	68.0	293.0	377.0	1217	0.705146791369	0.127193075356
CNAG_01221T0-2	7.56011396011	11.6126984127	0	1	0	5	2	0	4	0	7.0	22.0	1508.0	364.0	2068.0	68.0	293.0	377.0	1217	0.0609988573849	0.0415324327692
CNAG_01221T0-3	6.65695292362	11.2024962692	0	0	0	5	4	0	4	0	7.0	22.0	1508.0	364.0	2068.0	68.0	293.0	377.0	1217	0.0609988573849	0.0415324327692
CNAG_01221T0-4	6.41183014516	12.9388685389	0	0	0	5	1	0	2	0	7.0	22.0	1508.0	364.0	2068.0	68.0	293.0	377.0	1217	0.0609988573849	0.0103831081923
CNAG_01222T0-1	5.07290733957	12.9720255054	0	0	1	9	2	0	10	0	14.0	58.0	8564.0	164.0	789.0	327.0	250.0	224.0	1934	0.518012502045	0.436878547824
CNAG_01222T0-2	6.42838149505	11.0694342694	0	0	0	9	2	0	9	1	14.0	58.0	8564.0	164.0	789.0	327.0	250.0	224.0	1934	0.518012502045	0.353871623737
CNAG_01223T0-1	5.98388278388	10.3624474291	0	0	0	2	0	1	0	0	4.0	8.0	1398.0	130.0	676.0	60.0	105.0	92.0	1906	0.02985695552	0.0
CNAG_01223T0-2	5.17758784425	13.7349070682	0	0	0	2	0	0	1	0	4.0	8.0	1398.0	130.0	676.0	60.0	105.0	92.0	1906	0.02985695552	0.0106370429035
CNAG_01223T0-3	5.67711301045	13.3454890788	0	0	0	5	2	0	0	0	4.0	8.0	1398.0	130.0	676.0	60.0	105.0	92.0	1906	0.186605972	0.0
CNAG_01223T0-4	5.47019400353	11.6729887397	0	0	0	1	0	0	1	0	4.0	8.0	1398.0	130.0	676.0	60.0	105.0	92.0	1906	0.00746423888	0.0106370429035
CNAG_01223T0-5	4.93219373219	12.7014516348	0	0	0	2	0	0	0	0	4.0	8.0	1398.0	130.0	676.0	60.0	105.0	92.0	1906	0.02985695552	0.0
CNAG_01223T0-6	5.80442273776	10.2641161308	0	0	1	0	1	0	1	0	4.0	8.0	1398.0	130.0	676.0	60.0	105.0	92.0	1906	0.0	0.0106370429035
CNAG_01224T0-1	6.01231854565	10.8665309999	0	1	0	207	60	1	134	2	106.0	233.0	42536.0	1591.0	8909.0	5981.0	1333.0	1370.0	1535	24.2685572024	12.8261929187
CNAG_01224T0-2	6.68376068376	11.5399267399	0	0	0	10	2	0	2	0	106.0	233.0	42536.0	1591.0	8909.0	5981.0	1333.0	1370.0	1535	0.0566373945771	0.00285724948066
CNAG_01228T0-1	5.42395875729	12.8314746981	0	0	0	6	1	0	4	0	4.0	6.0	891.0	144.0	664.0	82.0	138.0	118.0	1238	0.273568851481	0.132692603
CNAG_01228T0-2	7.88072174739	13.9368335368	0	0	0	2	0	0	2	1	4.0	6.0	891.0	144.0	664.0	82.0	138.0	118.0	1238	0.0303965390535	0.03317315075
CNAG_01229T0-1	6.40477547144	13.2511192511	0	0	0	1	0	0	0	1	2.0	9.0	580.0	62.0	432.0	28.0	63.0	54.0	2332	0.0116801515807	0.0
CNAG_01229T0-2	6.52410799077	13.5888753222	0	0	0	1	0	0	0	0	2.0	9.0	580.0	62.0	432.0	28.0	63.0	54.0	2332	0.0116801515807	0.0
CNAG_01229T0-3	5.51181657848	12.490625424	0	0	0	0	1	0	0	1	2.0	9.0	580.0	62.0	432.0	28.0	63.0	54.0	2332	0.0	0.0
CNAG_01229T0-4	5.4071360738	11.547307014	0	0	0	1	1	0	1	0	2.0	9.0	580.0	62.0	432.0	28.0	63.0	54.0	2332	0.0116801515807	0.0181223693912
CNAG_01229T0-5	7.30619997287	11.2030932031	0	0	0	1	0	0	0	0	2.0	9.0	580.0	62.0	432.0	28.0	63.0	54.0	2332	0.0116801515807	0.0
CNAG_01229T0-6	6.03581603582	11.4525030525	0	0	0	2	0	0	0	0	2.0	9.0	580.0	62.0	432.0	28.0	63.0	54.0	2332	0.0467206063229	0.0
CNAG_01229T0-7	6.5498304165	12.9772351106	0	0	0	0	0	0	0	0	2.0	9.0	580.0	62.0	432.0	28.0	63.0	54.0	2332	0.0	0.0
CNAG_01229T0-8	6.9490706824	13.1795957129	0	0	0	0	1	0	0	0	2.0	9.0	580.0	62.0	432.0	28.0	63.0	54.0	2332	0.0	0.0
CNAG_01230T0-1	5.67808981142	13.62002442	0	1	0	60	17	0	38	4	85.0	274.0	21215.0	1689.0	9328.0	1311.0	2558.0	2888.0	2104	1.94735974897	0.489303973563
CNAG_01230T0-2	6.00944240944	12.3112196446	0	0	0	67	21	0	48	7	85.0	274.0	21215.0	1689.0	9328.0	1311.0	2558.0	2888.0	2104	2.42824942031	0.78071769743
CNAG_01230T0-3	5.90850630851	13.8160900828	0	0	1	25	6	0	22	2	85.0	274.0	21215.0	1689.0	9328.0	1311.0	2558.0	2888.0	2104	0.338083289751	0.164004932967
CNAG_01231T0-1	5.92983312983	12.9168905169	0	0	0	6	0	0	4	0	10.0	13.0	1134.0	314.0	1636.0	76.0	446.0	411.0	2170	0.111032834587	0.0380966597421
CNAG_01231T0-2	6.30443630444	13.3765296432	0	0	0	4	0	0	10	0	10.0	13.0	1134.0	314.0	1636.0	76.0	446.0	411.0	2170	0.0493479264829	0.238104123388
CNAG_01231T0-3	5.69925383259	10.585320852	0	0	0	5	2	0	1	0	10.0	13.0	1134.0	314.0	1636.0	76.0	446.0	411.0	2170	0.0771061351296	0.00238104123388
CNAG_01231T0-4	6.7572378239	10.8455840456	0	0	0	0	1	0	0	0	10.0	13.0	1134.0	314.0	1636.0	76.0	446.0	411.0	2170	0.0	0.0
CNAG_01231T0-5	5.01739248406	10.1197123864	0	0	0	1	1	0	2	1	10.0	13.0	1134.0	314.0	1636.0	76.0	446.0	411.0	2170	0.00308424540518	0.00952416493553
CNAG_01231T0-6	6.61484194818	13.6487315154	0	0	0	0	0	0	0	0	10.0	13.0	1134.0	314.0	1636.0	76.0	446.0	411.0	2170	0.0	0.0
CNAG_01232T0-1	6.4741283408	12.8988196988	0	0	0	5	0	0	2	0	16.0	40.0	1860.0	322.0	2842.0	81.0	381.0	538.0	5307	0.0443862199409	0.00727589551766
CNAG_01232T0-2	5.35162121829	11.0421381088	0	0	0	3	1	0	1	1	16.0	40.0	1860.0	322.0	2842.0	81.0	381.0	538.0	5307	0.0159790391787	0.00181897387942
CNAG_01232T0-3	7.38184778185	13.2015194682	0	0	0	3	0	0	0	0	16.0	40.0	1860.0	322.0	2842.0	81.0	381.0	538.0	5307	0.0159790391787	0.0
CNAG_01232T0-4	6.80645773979	11.4159272826	0	0	0	3	3	0	2	0	16.0	40.0	1860.0	322.0	2842.0	81.0	381.0	538.0	5307	0.0159790391787	0.00727589551766
CNAG_01232T0-5	5.59701533035	10.3667887668	0	1	0	6	0	0	6	0	16.0	40.0	1860.0	322.0	2842.0	81.0	381.0	538.0	5307	0.0639161567149	0.0654830596589
CNAG_01232T0-6	6.42300908968	13.5597883598	0	0	0	2	0	0	0	0	16.0	40.0	1860.0	322.0	2842.0	81.0	381.0	538.0	5307	0.00710179519054	0.0
CNAG_01232T0-7	6.40477547144	13.0549450549	0	0	0	5	1	0	1	1	16.0	40.0	1860.0	322.0	2842.0	81.0	381.0	538.0	5307	0.0443862199409	0.00181897387942
CNAG_01233T0-1	7.15832315832	12.3562067562	0	0	0	1	0	0	1	0	9.0	26.0	1073.0	130.0	1125.0	72.0	137.0	216.0	5422	0.004485178207	0.0045305923478
CNAG_01233T0-2	5.22431149098	11.3975308642	0	0	0	0	1	0	0	0	9.0	26.0	1073.0	130.0	1125.0	72.0	137.0	216.0	5422	0.0	0.0
CNAG_01233T0-3	5.69925383259	10.8118301452	0	0	0	1	2	0	3	0	9.0	26.0	1073.0	130.0	1125.0	72.0	137.0	216.0	5422	0.004485178207	0.0407753311302
CNAG_01233T0-4	5.35162121829	11.7945461945	0	0	0	1	0	0	1	0	9.0	26.0	1073.0	130.0	1125.0	72.0	137.0	216.0	5422	0.004485178207	0.0045305923478
CNAG_01234T0-1	6.18201058201	10.9579704246	1	0	0	7	4	0	5	0	24.0	57.0	2802.0	566.0	4987.0	156.0	717.0	1002.0	4392	0.0495779925127	0.0244163659462
CNAG_01234T0-2	7.90546737213	11.2079229413	0	0	0	2	3	0	7	0	24.0	57.0	2802.0	566.0	4987.0	156.0	717.0	1002.0	4392	0.00404718306226	0.0478560772546
CNAG_01234T0-3	5.67808981142	13.9178401845	0	0	0	12	3	0	3	2	24.0	57.0	2802.0	566.0	4987.0	156.0	717.0	1002.0	4392	0.145698590242	0.00878989174065
CNAG_01234T0-4	6.32272418939	13.4458825125	0	0	0	1	1	0	1	0	24.0	57.0	2802.0	566.0	4987.0	156.0	717.0	1002.0	4392	0.00101179576557	0.00097665463785
CNAG_01234T0-5	5.97020757021	11.6479175146	0	0	0	4	1	0	4	1	24.0	57.0	2802.0	566.0	4987.0	156.0	717.0	1002.0	4392	0.0161887322491	0.0156264742056
CNAG_01234T0-6	5.8265635599	8.61929181929	0	0	0	1	5	0	3	3	24.0	57.0	2802.0	566.0	4987.0	156.0	717.0	1002.0	4392	0.00101179576557	0.00878989174065
CNAG_01234T0-7	4.59796499796	12.8988196988	0	0	0	6	4	0	7	0	24.0	57.0	2802.0	566.0	4987.0	156.0	717.0	1002.0	4392	0.0364246475604	0.0478560772546
CNAG_01234T0-8	6.63481210148	13.0204314204	0	0	0	14	2	0	10	2	24.0	57.0	2802.0	566.0	4987.0	156.0	717.0	1002.0	4392	0.198311970051	0.097665463785
CNAG_01235T0-1	6.74605887939	13.7717541718	0	1	0	24	9	0	13	3	19.0	90.0	3537.0	662.0	5306.0	227.0	824.0	1160.0	4257	0.54775640372	0.142573054366
CNAG_01235T0-2	6.86045312712	11.3902048569	0	0	0	12	7	0	6	0	19.0	90.0	3537.0	662.0	5306.0	227.0	824.0	1160.0	4257	0.13693910093	0.0303705914625
CNAG_01235T0-3	4.59796499796	11.5283679284	0	1	0	14	1	0	12	0	19.0	90.0	3537.0	662.0	5306.0	227.0	824.0	1160.0	4257	0.186389331821	0.12148236585
CNAG_01235T0-4	4.59796499796	13.6409171076	0	0	0	23	7	0	13	0	19.0	90.0	3537.0	662.0	5306.0	227.0	824.0	1160.0	4257	0.503061002722	0.142573054366
CNAG_01235T0-5	5.30538597205	10.3197395197	0	0	0	4	0	0	4	0	19.0	90.0	3537.0	662.0	5306.0	227.0	824.0	1160.0	4257	0.0152154556589	0.01349804065
CNAG_01236T0-1	6.07130647131	12.5280151947	0	0	0	3	0	0	4	0	1.0	8.0	536.0	106.0	653.0	74.0	57.0	78.0	1636	0.0695443022142	0.200740091718
CNAG_01236T0-2	6.09160222494	10.534961335	0	0	0	5	2	0	3	0	1.0	8.0	536.0	106.0	653.0	74.0	57.0	78.0	1636	0.193178617262	0.112916301591
CNAG_01236T0-3	5.22431149098	11.8161986162	0	0	0	1	0	0	0	0	1.0	8.0	536.0	106.0	653.0	74.0	57.0	78.0	1636	0.00772714469047	0.0
CNAG_01236T0-4	6.92692986026	12.8385836386	0	0	0	1	0	0	0	0	1.0	8.0	536.0	106.0	653.0	74.0	57.0	78.0	1636	0.00772714469047	0.0
CNAG_01236T0-5	6.61543888211	11.5323836657	0	0	0	2	0	0	2	0	1.0	8.0	536.0	106.0	653.0	74.0	57.0	78.0	1636	0.0309085787619	0.0501850229295
CNAG_01236T0-6	6.78523945191	10.5361552028	0	0	0	0	0	0	0	0	1.0	8.0	536.0	106.0	653.0	74.0	57.0	78.0	1636	0.0	0.0
CNAG_01238T0-1	6.18201058201	10.9535205535	0	0	0	3	0	0	1	1	12.0	45.0	2898.0	306.0	2031.0	212.0	321.0	420.0	2506	0.0223596402491	0.00233001892173
CNAG_01238T0-2	6.40553520554	11.7034323701	0	0	0	1	0	0	2	0	12.0	45.0	2898.0	306.0	2031.0	212.0	321.0	420.0	2506	0.00248440447212	0.00932007568691
CNAG_01238T0-3	5.47019400353	10.6434947768	0	0	0	2	5	0	2	0	12.0	45.0	2898.0	306.0	2031.0	212.0	321.0	420.0	2506	0.00993761788848	0.00932007568691
CNAG_01238T0-4	5.38499525166	12.7217473884	0	0	0	1	0	0	2	0	12.0	45.0	2898.0	306.0	2031.0	212.0	321.0	420.0	2506	0.00248440447212	0.00932007568691
CNAG_01239T0-1	5.90280830281	11.3685524352	0	1	0	56	22	0	70	6	20.0	60.0	2133.0	930.0	5713.0	138.0	1657.0	2129.0	2561	2.76977222375	2.25231514369
CNAG_01239T0-2	5.88500881834	13.3662189662	1	0	0	48	6	1	61	6	20.0	60.0	2133.0	930.0	5713.0	138.0	1657.0	2129.0	2561	2.034934695	1.71038054075
CNAG_01239T0-3	6.4881291548	12.0459639126	0	0	0	20	5	0	21	0	20.0	60.0	2133.0	930.0	5713.0	138.0	1657.0	2129.0	2561	0.353287273438	0.202708362932
CNAG_01239T0-4	5.69925383259	10.7316239316	0	0	0	16	4	0	19	1	20.0	60.0	2133.0	930.0	5713.0	138.0	1657.0	2129.0	2561	0.226103855	0.16593587079
CNAG_01239T0-5	6.6014380681	10.8552977886	0	0	0	3	0	0	6	0	20.0	60.0	2133.0	930.0	5713.0	138.0	1657.0	2129.0	2561	0.00794896365235	0.0165476214638
CNAG_01240T0-1	5.4071360738	13.9396554063	0	0	0	2	0	0	1	0	5.0	16.0	209.0	192.0	956.0	30.0	174.0	151.0	2193	0.0211122405141	0.00648084733196
CNAG_01241T0-1	7.15143128476	13.3747931081	0	0	0	1	1	0	2	0	3.0	18.0	1575.0	207.0	1325.0	133.0	265.0	288.0	1685	0.00380817017576	0.0135917770434
CNAG_01241T0-2	5.61638854972	12.1126034459	0	0	0	8	1	0	6	0	3.0	18.0	1575.0	207.0	1325.0	133.0	265.0	288.0	1685	0.243722891248	0.122325993391
CNAG_01241T0-3	7.09727309727	12.848026048	0	0	0	3	1	0	3	0	3.0	18.0	1575.0	207.0	1325.0	133.0	265.0	288.0	1685	0.0342735315818	0.0305814983477
CNAG_01241T0-4	6.06919006919	10.3807353141	0	0	0	1	0	0	2	0	3.0	18.0	1575.0	207.0	1325.0	133.0	265.0	288.0	1685	0.00380817017576	0.0135917770434
CNAG_01241T0-5	6.03581603582	10.4876407543	0	0	0	1	4	0	0	0	3.0	18.0	1575.0	207.0	1325.0	133.0	265.0	288.0	1685	0.00380817017576	0.0
CNAG_01242T0-1	5.51181657848	10.8258852259	2	1	2	110	13	0	122	7	10.0	31.0	2134.0	262.0	1267.0	74.0	458.0	486.0	2878	48.1882307362	29.9703717799
CNAG_01242T0-2	6.22097408764	12.2360059693	0	0	0	5	2	0	7	0	10.0	31.0	2134.0	262.0	1267.0	74.0	458.0	486.0	2878	0.0995624601989	0.0986662333521
CNAG_01243T0-1	6.41183014516	11.9232668566	0	0	0	3	2	0	1	0	10.0	42.0	875.0	283.0	1896.0	67.0	330.0	361.0	5161	0.0239517032415	0.0027108253383
CNAG_01243T0-2	5.84778184778	13.7427214761	1	1	0	53	3	0	33	1	10.0	42.0	875.0	283.0	1896.0	67.0	330.0	361.0	5161	7.47559271171	2.95208879341
CNAG_01243T0-3	4.59796499796	10.6947225614	0	0	1	32	8	0	30	2	10.0	42.0	875.0	283.0	1896.0	67.0	330.0	361.0	5161	2.72517156881	2.43974280447
CNAG_01243T0-4	4.93219373219	11.2444987112	0	0	0	4	0	0	3	0	10.0	42.0	875.0	283.0	1896.0	67.0	330.0	361.0	5161	0.0425808057627	0.0243974280447
CNAG_01244T0-1	5.80442273776	11.528042328	0	0	0	1	0	0	0	0	1.0	0.0	21.0	15.0	96.0	8.0	18.0	18.0	2059	0.0525606821133	0.0
CNAG_01244T0-2	6.67377560711	12.7986975987	0	0	0	0	0	0	0	0	1.0	0.0	21.0	15.0	96.0	8.0	18.0	18.0	2059	0.0	0.0
CNAG_01244T0-3	6.60974087641	9.7358296025	0	0	0	0	0	0	0	0	1.0	0.0	21.0	15.0	96.0	8.0	18.0	18.0	2059	0.0	0.0
CNAG_01246T0-1	5.78032831366	13.1789445123	0	0	0	1	0	0	0	0	3.0	7.0	837.0	156.0	786.0	69.0	124.0	150.0	1547	0.00641962529628	0.0
CNAG_01247T0-1	6.43668430335	12.6303622304	0	0	0	10	2	0	10	0	5.0	8.0	835.0	222.0	1250.0	72.0	175.0	176.0	1173	0.40366603863	0.556027242685
CNAG_01247T0-2	5.8908696242	11.7364265364	0	0	0	7	3	0	3	0	5.0	8.0	835.0	222.0	1250.0	72.0	175.0	176.0	1173	0.197796358929	0.0500424518416
CNAG_01247T0-3	9.66881020214	13.4762176096	0	0	0	0	0	0	0	0	5.0	8.0	835.0	222.0	1250.0	72.0	175.0	176.0	1173	0.0	0.0
CNAG_01247T0-4	4.89008275675	13.3828788495	0	0	0	6	2	0	3	0	5.0	8.0	835.0	222.0	1250.0	72.0	175.0	176.0	1173	0.145319773907	0.0500424518416
CNAG_01248T0-1	5.35162121829	11.3690951024	0	0	0	8	0	0	2	1	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0996706268223	0.00707853849639
CNAG_01248T0-10	6.01231854565	10.418287885	0	0	0	4	0	0	2	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0249176567056	0.00707853849639
CNAG_01248T0-11	5.38499525166	12.9300230634	0	0	0	0	0	0	1	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0	0.0017696346241
CNAG_01248T0-12	8.32462352462	8.53821733822	0	0	0	1	0	0	3	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0015573535441	0.0159267116169
CNAG_01248T0-13	5.67711301045	10.6243928911	0	0	0	6	3	0	0	1	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0560647275875	0.0
CNAG_01248T0-14	8.3683625017	11.151973952	0	0	0	6	0	0	3	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0560647275875	0.0159267116169
CNAG_01248T0-15	6.55645095645	11.3304029304	0	0	0	1	0	0	2	1	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0015573535441	0.00707853849639
CNAG_01248T0-2	6.15303215303	13.7436440103	0	0	0	6	1	0	3	1	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0560647275875	0.0159267116169
CNAG_01248T0-3	6.87863247863	10.9779405779	0	0	0	2	1	0	1	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.00622941417639	0.0017696346241
CNAG_01248T0-4	7.34114774115	10.8117758784	0	0	0	6	3	0	2	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0560647275875	0.00707853849639
CNAG_01248T0-5	5.98388278388	13.6403201737	0	0	0	6	0	0	2	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0560647275875	0.00707853849639
CNAG_01248T0-6	5.05076651743	12.9778320445	0	0	0	0	0	0	0	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0	0.0
CNAG_01248T0-7	5.34288427622	12.7979921313	0	0	0	2	0	0	4	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.00622941417639	0.0283141539855
CNAG_01248T0-8	6.13989960657	11.403988604	0	0	0	0	2	0	1	0	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0	0.0017696346241
CNAG_01248T0-9	7.25996472663	12.4174738841	0	0	0	6	4	0	4	1	10.0	30.0	1144.0	501.0	3240.0	87.0	425.0	553.0	4290	0.0560647275875	0.0283141539855
CNAG_01249T0-1	6.34367114367	12.806023606	0	0	0	0	3	0	1	1	9.0	33.0	940.0	387.0	3467.0	92.0	330.0	514.0	3188	0.0	0.00190390651192
CNAG_01249T0-2	4.93219373219	13.0840862841	0	0	0	0	0	0	1	0	9.0	33.0	940.0	387.0	3467.0	92.0	330.0	514.0	3188	0.0	0.00190390651192
CNAG_01249T0-3	6.77872744539	13.1387328721	0	0	0	1	1	0	2	0	9.0	33.0	940.0	387.0	3467.0	92.0	330.0	514.0	3188	0.00145538664058	0.00761562604767
CNAG_01249T0-4	6.41183014516	11.2734771401	0	0	0	1	1	0	0	0	9.0	33.0	940.0	387.0	3467.0	92.0	330.0	514.0	3188	0.00145538664058	0.0
